用户名,polymarket_link,x_link,关注者,latest_post
iNeedMoreDollars,https://polymarket.com/profile/0xeda89efec5549d4df3bf4cce85119b5d8b2d6ca8,,,"[2026-06-19T10:48:53.901441Z] wait i missed this why did they close their airspace now? || [2026-06-18T08:59:19.405117Z] can we at least get additional context for june 16th, otherwise its totally a scam, i cant even vote in UMA its disgusting || [2026-06-17T23:11:21.277985Z] yes side has better arguments"
nasrysami,https://polymarket.com/profile/0x87a0fb1664f0c174427d1b74d194cd2a739bf6bb,,,[2026-06-19T10:00:37.038303Z] Morocco is underpriced too much. if they read round of 16 you can easily 5x your money || [2026-06-16T21:37:23.754808Z] lol 2-0 || [2026-06-16T21:36:57.121668Z] Morocco is very underpriced. If they pass the group stage which is very likely the odds can easily go from 2.2c to 8c. thats a 4x and its very conservative
cloudpaper,https://polymarket.com/profile/0x6480d5c5d644d1692910272cd4179349f0039710,,,"[2026-06-19T09:55:47.987729Z] Everyone start betting against Argentina so I can snag up more cheap bets, whyyy || [2026-06-19T09:52:19.161194Z] check"
FSon,https://polymarket.com/profile/0x81885fd9479ebcf6ae00c597b269681e6267b1be,,,"[2026-06-19T09:50:25.638004Z] if u want a big hit and ROI, should trade in crypto 5 min market"
KeithStarmer,https://polymarket.com/profile/0x7ae8b850049d07152b1741fbde10c7b6c0a45a42,,,[2026-06-19T09:13:00.101288Z] Everyone sell your YES shares i'm not going anywhere || [2026-05-26T15:29:41.338378Z] Buy some more YES shares then so I can buy some more NO at a cheaper price please
willo3,https://polymarket.com/profile/0x33e27ac64a453337cfcea8345c705a407c573a1b,,,"[2026-06-19T05:49:20.730567Z] polyscam, anybody who buys N here will have their airdrop allocation removed"
Pilagi,https://polymarket.com/profile/0x301f1f5cc0123bf80a037aaeea9c34080d5c3609,,,"[2026-06-18T20:15:24.149175Z] Yes, but ""Both Israel and Iran provide clear public confirmation that a qualifying agreement has been definitively established."" 

and Israel has not yet commented officially on the agreement, futhermore Israel specifically said Trump's agreement does not bind us

Sell your shares before you lose any more money. || [2026-06-18T12:36:16.609946Z] Stop trolling. ""Israel and Iran each sign or formally adopt a written agreement (e.g. a treaty or multi-point agreement) which meets the above criteria."" || [2026-06-18T05:23:06.947979Z] Dream on"
clarifils,https://polymarket.com/profile/0xdf1e9535b9bb8496a7b1aca7560099249b4d7465,,,[2026-06-18T16:37:16.951764Z] please give me a link where they vote on which outcome will win
NoMoreBullRun,https://polymarket.com/profile/0x4c1fa7156c9065ae59094ae006963b6b04b908a6,,,[2026-06-18T00:13:09.04389Z] Fact: Croatia only lost to the champion in 2018 & 2022. So easy money.
XDrawr,https://polymarket.com/profile/0x1638bbf6b7f2b07b21b2e6f0d4aeae7d4e4cec7d,,,[2026-06-17T23:30:48.601246Z] we see ur position goofy || [2026-06-12T21:28:25.668284Z] donk go kill !!
DontBePanican,https://polymarket.com/profile/0x8d89cc3ba9047d5dc7bba36f70990ec373d1b77d,,,"[2026-06-17T20:02:08.365883Z] Or just wait few hours till morning to see the flights are on schedule || [2026-06-17T20:00:34.334428Z] there is no domestic night flight in the country also ""Iranian aviation authorities"" didn't issued a NOTAM
check their instagram channel."
Matthewceo,https://polymarket.com/profile/0xe8278d22bef444ede84505b7c0ec4e4001305209,https://x.com/matthewceoo,,"[2026-06-17T19:22:14.506434Z] well yes i agree with you, i had 800 shares of no goal for Ronaldo || [2026-06-17T19:11:36.419688Z] argentina lost 2-1 to saudi in 2022 || [2026-05-19T18:48:57.304935Z] server is called polymarket"
trade-bet,https://polymarket.com/profile/0xef32ca22132e192cb40dc8ebbee3ac04df5e265c,,,[2026-06-17T22:10:51.897943Z] gg || [2026-06-17T18:42:30.32783Z] you can't hold when it resolved to yes you will lose your shares better to sell here before resolve
XLR8arc,https://polymarket.com/profile/0x76492f8c535a09166708d350bd0220ab3f190cd2,,,[2026-06-17T18:38:23.922128Z] Also don't do bonding on shiity markets ... never go all in bruhhh why would you even do that .. you are risking 20k for that 1k$ thinking it is safe.... there is no free moneyy ..
pbshine,https://polymarket.com/profile/0x9def9524630e31ff90f884eed32c3eecfbf8d1a5,,,"[2026-06-17T16:42:42.509389Z] i knew someone was waiting till last min to wipe out the yes holder || [2026-06-17T16:23:43.085088Z] Limited exceptions to a broad closure, however, will not disqualify such a closure from counting (e.g. exceptions for certain flights pre-approved by the Iranian Civil Aviation Authority may be permitted). || [2026-06-17T16:21:53.458822Z] someone dispute it shouldn't quality w the ruling words"
ithinkthisisgod,https://polymarket.com/profile/0xf1ff40f082633619cd012bb96affb4ac7a645b03,https://x.com/ithinkthisisgod,769,[2026-06-17T14:54:25.091537Z] Oh wait they closed again and its sunny in iran || [2026-06-17T14:37:29.808374Z] there is 50% chance iran will close ? did yall forget they signed a perma deal
ImBadAtGamba,https://polymarket.com/profile/0x4ea142832a341a5ff15efebe7a06b857d4a906a0,,,[2026-06-17T12:13:26.044311Z] Honestly I’m just betting for spirit cause of their coach
Amnyam228,https://polymarket.com/profile/0xb2870d7fa299718896b7ca4ef40a02e4c10cd991,,,"[2026-06-17T10:12:24.129335Z] Maybe stop whining and destabilizing the market already?

I have info from someone in the know that peace is expected here in Europe soon. After Daniil Trumpovich deals with Iran, oil will be brought down and sold to Europe, and Russia won’t be able to do anything. Right now the main thing is not to whine.

What’s required of us is to sit quietly. After everything is done, things will be good for us. Everyone will be provided for, like Saudi citizens — everyone will be rolling in butter. The main thing now is to sit quietly and not fuss. No selling, no NOs. Just wait it out and everything will be fine; everything is under control there."
heyeveryone,https://polymarket.com/profile/0x3b6e6f78b0c2961f6ea08dd1af0d274c55a59f9c,,,"[2026-06-16T17:38:13.371668Z] airdrop farmers here, report"
Eatpraylove,https://polymarket.com/profile/0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8,,,"[2026-06-16T14:28:09.581564Z] After all these shameful performances, CONMEBOL should have its world cup allotment curtailed so that we can ensure more competitive matches. Top side from CONMEBOL only please. Paraguay and Brazil are only going to get these lopsided losses of 4-1, 7-1 etc."
