用户名,个人资料网址,关注者
Covers,https://x.com/Covers,173300
DraftKings,https://x.com/DraftKings,401300
Polymarket,https://x.com/Polymarket,1600000
CaesarsSports,https://x.com/CaesarsSports,56000
WuBlockchain,https://x.com/WuBlockchain,557200
oddscheckerUS,https://x.com/oddscheckerUS,108700
PolymarketCS2,https://x.com/PolymarketCS2,15900
propsdotcash,https://x.com/propsdotcash,161500
oddschecker,https://x.com/oddschecker,151200
Betfair,https://x.com/Betfair,160500
CoinMarketCap,https://x.com/CoinMarketCap,7100000
BetMGM,https://x.com/BetMGM,328100
ActionNetworkHQ,https://x.com/ActionNetworkHQ,252000
PolymarketLoL,https://x.com/PolymarketLoL,14100
PolymarketFC,https://x.com/PolymarketFC,207100
FanDuel,https://x.com/FanDuel,395700
bet365,https://x.com/bet365,488300
esidery,https://x.com/esidery,69400
PickTheOdd,https://x.com/PickTheOdd,4272
PollTracker2024,https://x.com/PollTracker2024,47000
